,Date,User,text
53,2023-01-21 04:00:47+00:00,short_and_signi,"🚨 Wipro Layoff 🚨
IT Firm Fires 452 Freshers Over Poor Performance During Internal Test, Issues Termination Letter. 

#layoffs #wipro #layoffs2023 #breaking #Jobs https://t.co/MdcnizGvo7"
54,2023-01-20 19:00:52+00:00,dellyranksindia,"Wipro lets go of 452 freshers after failing internal test #moonlighting #Wipro #wiprofiresfreshers #wiprofreshers #wiprolayoffs https://t.co/cuJsAk1V6w
https://t.co/ujtN0SrG2U"
55,2023-01-19 07:06:54+00:00,business_today,"#BTAtWEF | Rishad Premji On Tackling Slowdown And The Moonlighting Controversy

Watch the full session here: https://t.co/lJFJDHLYvC | @AccentureIndia @DailyhuntApp @TGBLIndia
 @rahulkanwal @RishadPremji #Wipro #wef23 #Davos https://t.co/u36IhEUfpv"
56,2023-01-18 13:30:48+00:00,CNBCTV18News,"#Davos2023 | @wipro Executive Chairman @RishadPremji says #Wipro has higher hiring in 9 months of FY23 than FY22. He adds attrition is down quite dramatically.

@ShereenBhan 
#WEF2023 #CNBCTV18DavosDiary #Davos https://t.co/EqkvwV4wR0"
57,2023-01-18 11:40:00+00:00,TimesNow,"Amid layoff wave, IT majors #Infosys, #TCS, #HCL Tech, #Wipro see sharp drop in hiring; here's how many people they hired in Q3.

https://t.co/Vg3VpKOE1T"
58,2023-01-18 09:23:57+00:00,ppressjournal,"TCS is increasing salaries while other tech companies are undertaking layoff.

#TCS #tech #technology #TechNews #layoffs #employees https://t.co/i5eGEofwHf"
59,2023-01-18 07:31:23+00:00,Rajan_Arora_,"TCS is increasing salaries while other tech companies are undertaking layoff.

Read More: https://t.co/bIJ3IGN1M9

#TCS #tech #technology #TechNews #layoffs #EmployeeExperience https://t.co/rLIrw58DCi"
60,2023-01-17 14:07:59+00:00,180dcsrcc,"#whatsbrewing- what’s happening in the top consulting firms?
#Wipro, the Indian multinational IT and Consulting corporation, lays off 300 of its employees for moonlighting. Being a significant number of employees, it may create a gap in the organisations’s functioning."
61,2023-01-17 07:42:39+00:00,TheLayoffBot,"Wipro: Visitors are discussing potential and/or actual layoffs at Wipro!
See the discussion at https://t.co/TTtKlO6pXo
#Wipro $WIT #layoff #layoffs #jobcuts #thelayoff #rifs #Internet #ComputerServices #HighlandPark #IL #Illinois 🤖"
62,2023-01-16 21:03:06+00:00,Gaurav_ui,"Any employee who is #LaidOff by #Amazon #Meta #Accenture #Cognizant #Infosys #Hcl .So they can dm us we will try to help them as much as possible.

@KomalSecurities 

#Komalsecurities.#layoffs #layoff #engineers #techie."
